Source Code,Source Name,Source Coding Scheme,Source Coding Scheme Version,Source Coding Scheme Namespace,Association Name,REL,Map Rank,Target Code,Target Name,Target Coding Scheme,Target Coding Scheme Version,Target Coding Scheme Namespace
"CDR0000037761","stage II colon cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C3993","Stage II Colon Cancer AJCC v6","NCI","17.01e","NCI"
"CDR0000037762","stage II cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7797","Stage II Cutaneous T-Cell Non-Hodgkin Lymphoma","NCI","17.01e","NCI"
"CDR0000037762","stage II cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C88153","Stage II Mycosis Fungoides and Sezary Syndrome","NCI","17.01e","NCI"
"CDR0000037763","recurrent Wilms tumor and other childhood kidney tumors","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7845","Recurrent Kidney Wilms Tumor","NCI","17.01e","NCI"
"CDR0000037764","intraocular retinoblastoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7846","Intraocular Retinoblastoma","NCI","17.01e","NCI"
"CDR0000037764","intraocular retinoblastoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9047","Childhood Intraocular Retinoblastoma","NCI","17.01e","NCI"
"CDR0000037765","chronic lymphocytic leukemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C3163","Chronic Lymphocytic Leukemia","NCI","17.01e","NCI"
"CDR0000037766","stage 0 chronic lymphocytic leukemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7847","Stage 0 Chronic Lymphocytic Leukemia","NCI","17.01e","NCI"
"CDR0000037767","extraocular retinoblastoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7848","Extraocular Retinoblastoma","NCI","17.01e","NCI"
"CDR0000037767","extraocular retinoblastoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9048","Childhood Extraocular Retinoblastoma","NCI","17.01e","NCI"
"CDR0000037768","recurrent retinoblastoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7849","Recurrent Retinoblastoma","NCI","17.01e","NCI"
"CDR0000037769","adult lymphoblastic lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9360","Lymphoblastic Lymphoma","NCI","17.01e","NCI"
"CDR0000037769","adult lymphoblastic lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9361","Adult Lymphoblastic Lymphoma","NCI","17.01e","NCI"
"CDR0000037770","stage III cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7799","Stage III Cutaneous T-Cell Non-Hodgkin Lymphoma","NCI","17.01e","NCI"
"CDR0000037770","stage III cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C88157","Stage III Mycosis Fungoides and Sezary Syndrome","NCI","17.01e","NCI"
"CDR0000037771","BCG/polyvalent melanoma vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11706","BCG/Polyvalent Melanoma Vaccine","NCI","17.01e","NCI"
"CDR0000037772","cisplatin/cytarabine/etoposide/ifosfamide/yttrium Y 90 humanized epratuzumab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11707","Cisplatin/Cytarabine/Etoposide/Ifosfamide/Yttrium Y 90 Humanized Epratuzumab","NCI","17.01e","NCI"
"CDR0000037773","filgrastim/interleukin-11","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11708","Filgrastim/Interleukin-11","NCI","17.01e","NCI"
"CDR0000037774","keyhole limpet hemocyanin/MUC-1 antigen/QS21","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11709","Keyhole Limpet Hemocyanin/MUC-1 Antigen/QS21","NCI","17.01e","NCI"
"CDR0000037775","BCG/interferon alfa","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11710","BCG/Interferon alfa","NCI","17.01e","NCI"
"CDR0000037776","acridine carboxamide","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2203","Acridine Carboxamide","NCI","17.01e","NCI"
"CDR0000037777","bryostatin 1/gemcitabine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11711","Bryostatin 1/Gemcitabine","NCI","17.01e","NCI"
"CDR0000037779","recombinant vaccinia-B7.1 vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2237","Recombinant Vaccinia-B7.1 Vaccine","NCI","17.01e","NCI"
"CDR0000037780","iodinated contrast dye","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C28500","Iodinated Contrast Agent","NCI","17.01e","NCI"
"CDR0000037781","carboplatin/ifosfamide/thiotepa","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11712","Carboplatin/Ifosfamide/Thiotepa","NCI","17.01e","NCI"
